Country,Country.code,Region,GEO,Area,Decline,Population (2018),Land Area (KM2),Area (km2),Density (2018),Prop_sixtyfive,ForeignBornPopulation,Note,Unemploy rate,Note,RU_Class,Altitude,Proximity_Capital,Proximity_UrbanArea (> 1mil),Proximity_UrbanArea (km),Coast,Proximity_Coast,Proximity_Coast(km)
Belgium,BE,W,BE335,Arr. Verviers,0,288015,1161,#N/A,244.5219638,16.49846082,10.7983549,,9.5,NUTS 2 level,2,106.4650561,12.78637823,59572.61395,59.57261395,0,91200.14913,91.20014913
Belgium,BE,W,BE341,Arr. Arlon,0,62520,319,319,183.6896552,14.53397876,14.03793853,,6.2,NUTS 2 level,3,105.4213836,0,109000.7674,109.0007674,0,108683.385,108.683385
Belgium,BE,W,BE343,Arr. Marche-en-Famenne,0,56870,958,958,58.0960334,15.89503075,3.841451174,,6.2,NUTS 2 level,3,101.8987474,14.01529724,77282.43309,77.28243309,0,70271.75787,70.27175787
Belgium,BE,W,BE345,Arr. Virton,0,53687,778,778,67.46658098,15.35076811,5.460006505,,6.2,NUTS 2 level,3,100.8888889,3.618291751,75021.36601,75.02136601,0,74835.73819,74.83573819
Belgium,BE,W,BE351,Arr. Dinant,0,111566,1593,1597,67.98556183,17.01229703,3.52104128,,8,NUTS 2 level,3,87.82526713,40.12065327,36615.6215,36.6156215,0,36505.35796,36.50535796
Belgium,BE,W,BE353,Arr. Philippeville,0,66986,909,911,72.7359736,16.65418876,3.40876102,,8,NUTS 2 level,3,84.41960352,48.92908416,4718.767833,4.718767833,0,4704.359978,4.704359978
Belgium,BE,W,BE331,Arr. Huy,0,113165,657,661,166.2085236,15.31938326,3.896842878,,9.5,NUTS 2 level,3,76.0962406,29.16064819,44874.05304,44.87405304,0,65248.30732,65.24830732
Belgium,BE,W,BE326,Arr. Thuin,0,152284,935,940,160.7315508,16.7759181,5.102097406,,11.7,NUTS 2 level,2,74.53715499,33.58332316,0,0,0,0,0
Belgium,BE,W,BE352,Arr. Namur,0,316606,1163,1168,262.2252794,15.56293894,5.194109508,,8,NUTS 2 level,2,67.69931857,24.51428982,24514.28982,24.51428982,0,26278.7573,26.2787573
Belgium,BE,W,BE332,Arr. Liège,0,626222,786,796,779.0877863,17.4053811,12.84772363,,9.5,NUTS 2 level,1,63.47487437,31.66799742,72701.98903,72.70198903,0,72569.54579,72.56954579
Belgium,BE,W,BE322,Arr. Charleroi,0,431398,559,559,766.0661896,16.28569978,13.15503541,,11.7,NUTS 2 level,1,54.42576029,20.35978816,12739.38841,12.73938841,0,12724.40783,12.72440783
Belgium,BE,W,BE334,Arr. Waremme,0,80969,390,390,196.625641,15.74100682,3.193657097,,9.5,NUTS 2 level,3,49.31457801,36.94836881,36948.36881,36.94836881,0,52592.51923,52.59251923
Belgium,BE,W,BE310,Arr. Nivelles,0,401508,1097,1097,349.7247037,16.12104496,8.870205242,,6.7,NUTS 2 level,2,39.39341263,3.118112147,3118.112147,3.118112147,0,29827.97503,29.82797503
Belgium,BE,W,BE223,Arr. Tongeren,0,203694,628,634,317.4792994,17.30769231,11.92327813,,4.6,NUTS 2 level,2,29.59618442,59.52955725,49737.74425,49.73774425,0,49632.19057,49.63219057
Belgium,BE,W,BE325,Arr. Soignies,0,190440,518,519,356.0057915,15.25870537,8.666279093,,11.7,NUTS 2 level,2,28.61849711,15.4730786,9763.127114,9.763127114,0,9756.240191,9.756240191
Belgium,BE,W,BE323,Arr. Mons,0,258817,584,589,434.505137,15.92434869,12.01667107,,11.7,NUTS 2 level,1,24.8098472,31.0167006,0,0,0,0,0
Belgium,BE,W,BE100,Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad,0,1205492,162,162,7017.148148,13.62716784,31.48492344,,17,NUTS 2 level,1,21.8427673,0,0,0,0,17869.11986,17.86911986
Belgium,BE,W,BE321,Arr. Ath,0,86836,490,672,172.5938776,16.42321644,4.623941959,,11.7,NUTS 2 level,3,17.68163265,30.15055904,0,0,0,0,0
Belgium,BE,W,BE221,Arr. Hasselt,0,427695,893,909,462.3818589,17.08548345,5.981401048,,4.6,NUTS 2 level,1,17.19184123,41.51629153,24869.87841,24.86987841,0,24811.55362,24.81155362
Belgium,BE,W,BE222,Arr. Maaseik,0,241350,869,911,269.9275029,16.04276761,12.54251997,,4.6,NUTS 2 level,2,16.68953881,64.58979995,30828.72957,30.82872957,0,30732.2249,30.7322249
